"","DateTime","Solskin","lattitude[i]","longtitude[i]","by[i]"
"91","2020-01-04 19:00:00",0,55.3088,10.4398,"Årslev"
"92","2020-01-04 20:00:00",0,55.3088,10.4398,"Årslev"
"93","2020-01-04 21:00:00",0,55.3088,10.4398,"Årslev"
"94","2020-01-04 22:00:00",0,55.3088,10.4398,"Årslev"
"95","2020-01-04 23:00:00",0,55.3088,10.4398,"Årslev"
"96","2020-01-05 00:00:00",0,55.3088,10.4398,"Årslev"
"97","2020-01-05 01:00:00",0,55.3088,10.4398,"Årslev"
"98","2020-01-05 02:00:00",0,55.3088,10.4398,"Årslev"
"99","2020-01-05 03:00:00",0,55.3088,10.4398,"Årslev"
"100","2020-01-05 04:00:00",0,55.3088,10.4398,"Årslev"
"101","2020-01-05 05:00:00",0,55.3088,10.4398,"Årslev"
"102","2020-01-05 06:00:00",0,55.3088,10.4398,"Årslev"
"103","2020-01-05 07:00:00",0,55.3088,10.4398,"Årslev"
"104","2020-01-05 08:00:00",0,55.3088,10.4398,"Årslev"
"105","2020-01-05 09:00:00",0,55.3088,10.4398,"Årslev"
"106","2020-01-05 10:00:00",0,55.3088,10.4398,"Årslev"
"107","2020-01-05 11:00:00",8,55.3088,10.4398,"Årslev"
"108","2020-01-05 12:00:00",0,55.3088,10.4398,"Årslev"
"109","2020-01-05 13:00:00",0,55.3088,10.4398,"Årslev"
"110","2020-01-05 14:00:00",0,55.3088,10.4398,"Årslev"
"111","2020-01-05 15:00:00",0,55.3088,10.4398,"Årslev"
"112","2020-01-05 16:00:00",0,55.3088,10.4398,"Årslev"
"113","2020-01-05 17:00:00",0,55.3088,10.4398,"Årslev"
"114","2020-01-05 18:00:00",0,55.3088,10.4398,"Årslev"
"115","2020-01-05 19:00:00",0,55.3088,10.4398,"Årslev"
"116","2020-01-05 20:00:00",0,55.3088,10.4398,"Årslev"
"117","2020-01-05 21:00:00",0,55.3088,10.4398,"Årslev"
"118","2020-01-05 22:00:00",0,55.3088,10.4398,"Årslev"
"119","2020-01-05 23:00:00",0,55.3088,10.4398,"Årslev"
"120","2020-01-06 00:00:00",0,55.3088,10.4398,"Årslev"
"121","2020-01-06 01:00:00",0,55.3088,10.4398,"Årslev"
"122","2020-01-06 02:00:00",0,55.3088,10.4398,"Årslev"
"123","2020-01-06 03:00:00",0,55.3088,10.4398,"Årslev"
"124","2020-01-06 04:00:00",0,55.3088,10.4398,"Årslev"
"125","2020-01-06 05:00:00",0,55.3088,10.4398,"Årslev"
"126","2020-01-06 06:00:00",0,55.3088,10.4398,"Årslev"
"127","2020-01-06 07:00:00",0,55.3088,10.4398,"Årslev"
"128","2020-01-06 08:00:00",0,55.3088,10.4398,"Årslev"
"129","2020-01-06 09:00:00",0,55.3088,10.4398,"Årslev"
"130","2020-01-06 10:00:00",0,55.3088,10.4398,"Årslev"
"131","2020-01-06 11:00:00",0,55.3088,10.4398,"Årslev"
"132","2020-01-06 12:00:00",0,55.3088,10.4398,"Årslev"
"133","2020-01-06 13:00:00",0,55.3088,10.4398,"Årslev"
"134","2020-01-06 14:00:00",0,55.3088,10.4398,"Årslev"
"135","2020-01-06 15:00:00",0,55.3088,10.4398,"Årslev"
"136","2020-01-06 16:00:00",0,55.3088,10.4398,"Årslev"
"137","2020-01-06 17:00:00",0,55.3088,10.4398,"Årslev"
"138","2020-01-06 18:00:00",0,55.3088,10.4398,"Årslev"
"139","2020-01-06 19:00:00",0,55.3088,10.4398,"Årslev"
"140","2020-01-06 20:00:00",0,55.3088,10.4398,"Årslev"
"141","2020-01-06 21:00:00",0,55.3088,10.4398,"Årslev"
"142","2020-01-06 22:00:00",0,55.3088,10.4398,"Årslev"
"143","2020-01-06 23:00:00",0,55.3088,10.4398,"Årslev"
"144","2020-01-07 00:00:00",0,55.3088,10.4398,"Årslev"
"145","2020-01-07 01:00:00",0,55.3088,10.4398,"Årslev"
"146","2020-01-07 02:00:00",0,55.3088,10.4398,"Årslev"
"147","2020-01-07 03:00:00",0,55.3088,10.4398,"Årslev"
"148","2020-01-07 04:00:00",0,55.3088,10.4398,"Årslev"
"149","2020-01-07 05:00:00",0,55.3088,10.4398,"Årslev"
"150","2020-01-07 06:00:00",0,55.3088,10.4398,"Årslev"
"151","2020-01-07 07:00:00",0,55.3088,10.4398,"Årslev"
"152","2020-01-07 08:00:00",0,55.3088,10.4398,"Årslev"
"153","2020-01-07 09:00:00",0,55.3088,10.4398,"Årslev"
"154","2020-01-07 10:00:00",0,55.3088,10.4398,"Årslev"
"155","2020-01-07 11:00:00",0,55.3088,10.4398,"Årslev"
"156","2020-01-07 12:00:00",0,55.3088,10.4398,"Årslev"
"157","2020-01-07 13:00:00",6.5,55.3088,10.4398,"Årslev"
"158","2020-01-07 14:00:00",2,55.3088,10.4398,"Årslev"
"159","2020-01-07 15:00:00",18.5,55.3088,10.4398,"Årslev"
"160","2020-01-07 16:00:00",0,55.3088,10.4398,"Årslev"
"161","2020-01-07 17:00:00",0,55.3088,10.4398,"Årslev"
"162","2020-01-07 18:00:00",0,55.3088,10.4398,"Årslev"
"163","2020-01-07 19:00:00",0,55.3088,10.4398,"Årslev"
"164","2020-01-07 20:00:00",0,55.3088,10.4398,"Årslev"
"165","2020-01-07 21:00:00",0,55.3088,10.4398,"Årslev"
"166","2020-01-07 22:00:00",0,55.3088,10.4398,"Årslev"
"167","2020-01-07 23:00:00",0,55.3088,10.4398,"Årslev"
"168","2020-01-08 00:00:00",0,55.3088,10.4398,"Årslev"
"169","2020-01-08 01:00:00",0,55.3088,10.4398,"Årslev"
"170","2020-01-08 03:00:00",0,55.3088,10.4398,"Årslev"
"171","2020-01-08 04:00:00",0,55.3088,10.4398,"Årslev"
"172","2020-01-08 05:00:00",0,55.3088,10.4398,"Årslev"
"173","2020-01-08 06:00:00",0,55.3088,10.4398,"Årslev"
"174","2020-01-08 07:00:00",0,55.3088,10.4398,"Årslev"
"175","2020-01-08 08:00:00",0,55.3088,10.4398,"Årslev"
"176","2020-01-08 09:00:00",0,55.3088,10.4398,"Årslev"
"177","2020-01-08 10:00:00",0,55.3088,10.4398,"Årslev"
"178","2020-01-08 11:00:00",4,55.3088,10.4398,"Årslev"
"179","2020-01-08 12:00:00",0,55.3088,10.4398,"Årslev"
"180","2020-01-08 13:00:00",7.5,55.3088,10.4398,"Årslev"
"181","2020-01-08 14:00:00",25,55.3088,10.4398,"Årslev"
"182","2020-01-08 15:00:00",2,55.3088,10.4398,"Årslev"
"183","2020-01-08 16:00:00",0,55.3088,10.4398,"Årslev"
